userId,movieId,rating,timestamp
196,242,3,1970-01-01
186,302,3,1970-01-01
22,377,1,1970-01-01
244,51,2,1970-01-01
166,346,1,1970-01-01
298,474,4,1970-01-01
115,265,2,1970-01-01
253,465,5,1970-01-01
305,451,3,1970-01-01
6,86,3,1970-01-01
62,257,2,1970-01-01
286,1014,5,1970-01-01
200,222,5,1970-01-01
210,40,3,1970-01-01
224,29,3,1970-01-01
303,785,3,1970-01-01
122,387,5,1970-01-01
194,274,2,1970-01-01
291,1042,4,1970-01-01
234,1184,2,1970-01-01
119,392,4,1970-01-01
167,486,4,1970-01-01
299,144,4,1970-01-01
291,118,2,1970-01-01
308,1,4,1970-01-01
95,546,2,1970-01-01
38,95,5,1970-01-01
102,768,2,1970-01-01
63,277,4,1970-01-01
160,234,5,1970-01-01
50,246,3,1970-01-01
301,98,4,1970-01-01
225,193,4,1970-01-01
290,88,4,1970-01-01
97,194,3,1970-01-01
157,274,4,1970-01-01
181,1081,1,1970-01-01
278,603,5,1970-01-01
276,796,1,1970-01-01
7,32,4,1970-01-01
10,16,4,1970-01-01
284,304,4,1970-01-01
201,979,2,1970-01-01
276,564,3,1970-01-01
287,327,5,1970-01-01
246,201,5,1970-01-01
242,1137,5,1970-01-01
249,241,5,1970-01-01
99,4,5,1970-01-01
178,332,3,1970-01-01
251,100,4,1970-01-01
81,432,2,1970-01-01
260,322,4,1970-01-01
25,181,5,1970-01-01
59,196,5,1970-01-01
72,679,2,1970-01-01
87,384,4,1970-01-01
290,143,5,1970-01-01
42,423,5,1970-01-01
292,515,4,1970-01-01
115,20,3,1970-01-01
20,288,1,1970-01-01
201,219,4,1970-01-01
13,526,3,1970-01-01
246,919,4,1970-01-01
138,26,5,1970-01-01
167,232,1,1970-01-01
60,427,5,1970-01-01
57,304,5,1970-01-01
223,274,4,1970-01-01
189,512,4,1970-01-01
243,15,3,1970-01-01
92,1049,1,1970-01-01
246,416,3,1970-01-01
194,165,4,1970-01-01
241,690,2,1970-01-01
178,248,4,1970-01-01
254,1444,3,1970-01-01
293,5,3,1970-01-01
127,229,5,1970-01-01
225,237,5,1970-01-01
299,229,3,1970-01-01
225,480,5,1970-01-01
276,54,3,1970-01-01
291,144,5,1970-01-01
222,366,4,1970-01-01
267,518,5,1970-01-01
42,403,3,1970-01-01
11,111,4,1970-01-01
95,625,4,1970-01-01
8,338,4,1970-01-01
162,25,4,1970-01-01
87,1016,4,1970-01-01
279,154,5,1970-01-01
145,275,2,1970-01-01
119,1153,5,1970-01-01
62,498,4,1970-01-01
62,382,3,1970-01-01
28,209,4,1970-01-01
135,23,4,1970-01-01
32,294,3,1970-01-01
90,382,5,1970-01-01
286,208,4,1970-01-01
293,685,3,1970-01-01
216,144,4,1970-01-01
166,328,5,1970-01-01
250,496,4,1970-01-01
271,132,5,1970-01-01
160,174,5,1970-01-01
265,118,4,1970-01-01
198,498,3,1970-01-01
42,96,5,1970-01-01
168,151,5,1970-01-01
110,307,4,1970-01-01
58,144,4,1970-01-01
90,648,4,1970-01-01
271,346,4,1970-01-01
62,21,3,1970-01-01
279,832,3,1970-01-01
237,514,4,1970-01-01
94,789,4,1970-01-01
128,485,3,1970-01-01
298,317,4,1970-01-01
44,195,5,1970-01-01
264,200,5,1970-01-01
194,385,2,1970-01-01
72,195,5,1970-01-01
222,750,5,1970-01-01
250,264,3,1970-01-01
41,265,3,1970-01-01
